State,Country,Year,Migrants
NSW,India,2025,15610
NSW,China,2025,15080
NSW,New Zealand,2025,3870
NSW,Philippines,2025,5450
NSW,Nepal,2025,8770
NSW,Sri Lanka,2025,2710
NSW,Bangladesh,2025,5330
NSW,Pakistan,2025,2740
NSW,Vietnam,2025,3160
NSW,Indonesia,2025,2770
NSW,Afghanistan,2025,2100
NSW,South Africa,2025,1240
NSW,Iran,2025,1510
NSW,Ireland,2025,900
NSW,Hong Kong,2025,1140
VIC,India,2025,20570
VIC,China,2025,10980
VIC,New Zealand,2025,5880
VIC,Philippines,2025,4640
VIC,Nepal,2025,2870
VIC,Sri Lanka,2025,5550
VIC,Bangladesh,2025,2500
VIC,Pakistan,2025,3040
VIC,Vietnam,2025,3400
VIC,Indonesia,2025,2870
VIC,Afghanistan,2025,3820
VIC,South Africa,2025,1090
VIC,Iran,2025,1160
VIC,Ireland,2025,570
VIC,Hong Kong,2025,1250
QLD,India,2025,7900
QLD,China,2025,4830
QLD,New Zealand,2025,9890
QLD,Philippines,2025,4100
QLD,Nepal,2025,1500
QLD,Sri Lanka,2025,1400
QLD,Bangladesh,2025,740
QLD,Pakistan,2025,980
QLD,Vietnam,2025,1070
QLD,Indonesia,2025,910
QLD,Afghanistan,2025,750
QLD,South Africa,2025,2110
QLD,Iran,2025,620
QLD,Ireland,2025,380
QLD,Hong Kong,2025,580
SA,India,2025,4850
SA,China,2025,1770
SA,New Zealand,2025,520
SA,Philippines,2025,990
SA,Nepal,2025,930
SA,Sri Lanka,2025,960
SA,Bangladesh,2025,810
SA,Pakistan,2025,790
SA,Vietnam,2025,600
SA,Indonesia,2025,750
SA,Afghanistan,2025,1010
SA,South Africa,2025,380
SA,Iran,2025,390
SA,Ireland,2025,70
SA,Hong Kong,2025,190
WA,India,2025,5390
WA,China,2025,1770
WA,New Zealand,2025,3650
WA,Philippines,2025,3410
WA,Nepal,2025,1300
WA,Sri Lanka,2025,1130
WA,Bangladesh,2025,1420
WA,Pakistan,2025,1350
WA,Vietnam,2025,780
WA,Indonesia,2025,910
WA,Afghanistan,2025,580
WA,South Africa,2025,1560
WA,Iran,2025,370
WA,Ireland,2025,1480
WA,Hong Kong,2025,200
TAS,India,2025,730
TAS,China,2025,40
TAS,New Zealand,2025,160
TAS,Philippines,2025,230
TAS,Nepal,2025,190
TAS,Sri Lanka,2025,130
TAS,Bangladesh,2025,170
TAS,Pakistan,2025,110
TAS,Vietnam,2025,80
TAS,Indonesia,2025,50
TAS,Afghanistan,2025,90
TAS,South Africa,2025,60
TAS,Iran,2025,40
TAS,Ireland,2025,0
TAS,Hong Kong,2025,40
NT,India,2025,890
NT,China,2025,110
NT,New Zealand,2025,180
NT,Philippines,2025,320
NT,Nepal,2025,310
NT,Sri Lanka,2025,160
NT,Bangladesh,2025,180
NT,Pakistan,2025,100
NT,Vietnam,2025,60
NT,Indonesia,2025,130
NT,Afghanistan,2025,10
